nombreProducto,precioProducto,stockProducto,categoriaProducto
Laptop Lenovo,785469,80,Gamer
Laptop HP,2088144,23,Accesorios
Laptop ASUS,1297559,112,Electrónica
Mouse inalámbrico,2452721,13,Electrónica
Mouse gamer,808215,37,Computación
Teclado mecánico,1750016,113,Electrónica
Teclado inalámbrico,573032,65,Gamer
Monitor 24 pulgadas,1045673,32,Computación
Monitor 27 pulgadas,1054460,84,Accesorios
Audífonos Bluetooth,1575903,107,Gamer
Audífonos gamer,1291422,87,Accesorios
Parlante Bluetooth,2026580,67,Oficina
Memoria USB 32GB,1831805,89,Accesorios
Memoria USB 64GB,1531458,32,Electrónica
Disco duro externo 1TB,300345,85,Accesorios
Disco duro externo 2TB,1317295,52,Accesorios
Cámara web HD,1967527,43,Gamer
Impresora HP,1539442,81,Accesorios
Impresora Epson,1212469,9,Electrónica
Router WiFi,2433453,69,Gamer
Cable HDMI,2387427,83,Gamer
Cable USB tipo C,742123,40,Accesorios
Power Bank 10000mAh,288402,119,Electrónica
Power Bank 20000mAh,309114,19,Computación
Tablet Samsung,2040144,27,Electrónica
Tablet Lenovo,920991,92,Oficina
Celular Samsung,2300850,33,Computación
Celular Xiaomi,886123,54,Oficina
Smartwatch,619118,73,Computación
Reloj inteligente deportivo,181948,60,Gamer
Silla gamer,1325630,111,Oficina
Base para laptop,118813,92,Gamer
Ventilador portátil,1657744,57,Oficina
Cargador rápido USB-C,515729,71,Gamer
Cargador para laptop,370780,40,Computación
Webcam Full HD,901671,10,Electrónica
Micrófono USB,2464093,73,Gamer
Mouse pad gamer,1325693,77,Accesorios
Pantalla portátil,1385497,68,Accesorios
Proyector portátil,638597,89,Accesorios
Teclado gamer RGB,2331243,25,Accesorios
Lámpara LED escritorio,1130902,69,Electrónica
Cámara de seguridad,1510418,106,Gamer
Regleta eléctrica,306140,59,Gamer
Adaptador USB,2461406,34,Electrónica
Soporte para monitor,502700,71,Accesorios
Soporte para celular,522281,103,Oficina
Teclado numérico,64838,25,Computación
Hub USB,1123041,68,Accesorios
Tarjeta microSD 128GB,809820,12,Computación
