idPedido,cantidadProducto,fechaPedido,idClienteFK,idProductoFK
1,2,2025-01-05,1,3
2,5,2025-01-12,2,17
3,1,2025-01-20,3,8
4,3,2025-02-03,4,22
5,4,2025-02-14,5,11
6,6,2025-02-18,6,35
7,2,2025-03-01,7,44
8,1,2025-03-09,8,6
9,3,2025-03-15,9,29
10,5,2025-03-22,10,1
11,2,2025-04-02,11,50
12,4,2025-04-10,12,13
13,1,2025-04-17,13,38
14,6,2025-04-25,14,7
15,3,2025-05-05,15,20
16,2,2025-05-11,16,45
17,5,2025-05-19,17,2
18,1,2025-05-27,18,33
19,4,2025-06-03,19,16
20,3,2025-06-10,20,48
21,2,2025-06-18,21,5
22,6,2025-06-25,22,27
23,1,2025-07-04,23,42
24,3,2025-07-11,24,9
25,5,2025-07-19,25,31
26,2,2025-07-28,26,14
27,4,2025-08-05,27,49
28,1,2025-08-13,28,23
29,3,2025-08-21,29,4
30,6,2025-08-29,30,36
31,2,2025-09-06,31,18
32,5,2025-09-14,32,41
33,1,2025-09-22,33,10
34,4,2025-09-30,34,26
35,3,2025-10-08,35,47
36,2,2025-10-15,36,12
37,6,2025-10-23,37,39
38,1,2025-10-31,38,21
39,5,2025-11-07,39,34
40,3,2025-11-15,40,15
41,2,2025-11-22,41,43
42,4,2025-11-30,42,28
43,1,2025-12-08,43,6
44,6,2025-12-16,44,37
45,3,2025-12-24,45,19
46,5,2026-01-05,46,46
47,2,2026-01-13,47,24
48,4,2026-01-21,48,40
49,1,2026-02-02,49,30
50,3,2026-02-10,50,25
